id,acct_code,transaction_name,location,transaction_amount,x_amt1,x_amt2,transaction_date,x_date1,x_date2
15,100000100,Nuveen AMT-Free Municipal Value Fund,Brazil,9932965,9032072,1285754,2024-01-15 19:28:01,2022-08-11 08:17:17,2020-08-20 17:13:37
16,100000008,Ryanair Holdings plc,Brazil,116589,8796243,1800302,2021-12-03 05:17:43,2024-01-15 09:43:38,2024-01-03 20:00:48
17,100000006,"Torchlight Energy Resources, Inc.",Colombia,798609,3280141,1912544,2022-05-22 03:50:20,2021-08-25 09:19:55,2021-09-29 04:13:50
18,100000008,"Mueller Industries, Inc.",United States,1184756,7677059,3265657,2023-01-23 08:31:54,2020-03-22 04:15:27,2023-01-26 10:22:12
19,200000006,"Sigma Labs, Inc.",Brazil,5934669,3264291,2380660,2022-07-19 03:25:04,2023-08-24 22:38:38,2023-09-07 14:43:47
20,100000002,Cumulus Media Inc.,United States,4669029,117691,9035593,2023-11-24 19:58:22,2023-07-16 20:38:17,2022-11-22 00:28:38
21,100000005,NBT Bancorp Inc.,Canada,274785,9991138,2628374,2023-08-09 15:41:38,2020-04-09 13:05:27,2021-06-22 16:50:50
22,200000003,Weight Watchers International Inc,Philippines,5500978,3138451,9319576,2021-07-18 02:38:24,2020-09-26 01:49:01,2023-11-08 19:21:19
23,100000005,"Eleven Biotherapeutics, Inc.",Philippines,8606457,947338,6464521,2023-03-29 07:05:59,2023-01-25 20:04:53,2023-04-12 18:11:18
24,100000009,"Old Dominion Freight Line, Inc.",Philippines,6510928,7673523,4186408,2021-07-30 22:08:45,2020-07-02 12:52:48,2021-09-18 09:18:19
25,200000003,"iRhythm Technologies, Inc.",Philippines,7904179,7656084,9985155,2022-10-12 16:17:23,2020-12-31 15:33:22,2023-03-18 08:26:59
26,100000009,Nationstar Mortgage Holdings Inc.,Brazil,1049692,9070991,403980,2020-07-29 14:32:08,2021-10-30 12:50:30,2021-08-21 09:44:05
27,200000004,"Uranium Resources, Inc.",United States,2113385,3835030,9231166,2021-12-30 06:27:17,2021-06-10 21:18:14,2022-01-30 14:24:59
28,100000007,"Aaron's,  Inc.",Canada,6493959,8539752,8472445,2021-05-02 17:18:07,2020-05-09 03:47:31,2020-12-20 14:36:35
29,200000004,Stewardship Financial Corp,Canada,3063288,7375025,7867247,2023-02-23 10:54:56,2023-03-26 07:11:25,2020-09-30 20:21:36
30,100000005,Check-Cap Ltd.,United States,4633679,9422808,5831934,2021-09-19 20:32:22,2021-03-29 17:16:28,2021-05-15 03:14:17
31,200000006,EXFO Inc,Brazil,1638829,7346378,1188283,2022-12-12 02:28:27,2023-05-03 01:14:58,2023-01-12 23:45:20
32,100000005,"Kingsway Financial Services, Inc.",Colombia,4012601,6762492,2189871,2022-09-10 03:30:05,2021-01-07 19:02:40,2022-03-02 20:37:21
33,100000004,"Internationa Flavors & Fragrances, Inc.",Philippines,3919805,8107468,9710300,2020-11-22 23:51:56,2022-12-11 19:17:57,2021-05-25 09:39:20
34,200000002,Emerson Electric Company,Philippines,9028834,4093069,2871658,2023-02-07 22:39:12,2021-10-08 10:23:54,2020-10-10 07:48:11
35,200000006,Global X Health & Wellness Thematic ETF,Brazil,1736577,7012115,1784727,2023-03-09 02:55:00,2021-04-22 00:00:21,2021-02-17 03:57:49
36,100000003,First Trust High Income ETF,Philippines,6186643,9951910,5091904,2020-11-07 11:09:43,2020-09-14 09:06:29,2023-08-06 23:06:27
37,200000005,"Senomyx, Inc.",Philippines,8115341,6929057,3528934,2023-04-16 01:11:54,2022-12-28 05:18:36,2023-12-11 15:13:35
38,100000008,"Citizens Community Bancorp, Inc.",Brazil,8837016,9442230,168958,2022-06-09 21:44:44,2023-07-18 19:46:51,2020-10-05 12:29:12
39,100000005,Potlatch Corporation,Philippines,2025921,3016978,310416,2021-12-14 02:28:00,2020-09-25 09:10:39,2023-04-12 05:24:12
40,200000600,Ambev S.A.,Philippines,8171879,5328107,1625800,2023-04-01 10:37:54,2020-04-24 05:16:54,2022-07-21 01:07:56
41,200000004,Fonar Corporation,Brazil,3426794,7618160,260188,2023-02-06 19:42:18,2022-03-15 05:28:37,2021-04-05 01:37:47
42,200000005,Eaton Vance Tax-Advantage Global Dividend Opp,Philippines,3825288,6613836,9496579,2022-07-29 11:28:26,2021-05-28 12:31:06,2020-06-10 02:53:49
43,100000006,"Viveve Medical, Inc.",Colombia,7604597,7098795,2954921,2021-07-08 22:32:05,2022-10-19 00:45:02,2022-12-30 04:07:54
44,100000002,Brown Forman Corporation,Colombia,2964410,8077560,4200440,2023-08-18 13:24:25,2020-06-24 02:40:39,2023-03-31 13:46:26
45,200000006,Generac Holdlings Inc.,Philippines,5603944,1351153,7663741,2022-01-30 10:06:43,2020-12-20 17:36:19,2021-07-20 03:31:18
46,100000009,Atkore International Group Inc.,Philippines,6558839,2575973,9748489,2022-02-16 18:45:09,2022-07-26 07:00:10,2023-11-10 13:07:10
47,200000003,Envision Healthcare Corporation,Philippines,6652650,2809014,6041197,2021-04-06 12:06:40,2024-01-14 21:41:08,2020-10-17 08:17:06
48,100000008,BRT Apartments Corp.,Colombia,9701281,259239,9324542,2022-05-23 22:08:41,2023-09-02 15:24:50,2024-02-24 02:05:31
49,100000009,"KalVista Pharmaceuticals, Inc.",United States,2421442,5849323,696300,2024-01-05 12:44:03,2022-01-06 16:17:23,2023-08-31 11:39:34
50,200000600,Johnson & Johnson,Brazil,2116584,2901296,5451612,2020-10-19 20:57:41,2021-03-21 10:56:55,2021-05-20 19:33:33
51,200000001,Western Asset Emerging Markets Debt Fund Inc,Philippines,2107312,4634916,1699392,2023-06-02 09:55:15,2023-04-13 09:05:46,2021-06-03 11:09:10
52,200000002,SLM Corporation,Brazil,3367425,2133585,4408975,2020-12-25 21:55:36,2020-12-16 08:51:15,2021-11-09 21:29:58
53,100000004,Dolby Laboratories,Philippines,262679,5087976,978809,2023-09-28 00:29:27,2024-03-07 20:36:34,2020-08-05 23:58:03
54,100000006,"Soligenix, Inc.",Philippines,5176215,4849753,8135554,2023-12-12 15:24:28,2020-12-10 00:49:37,2022-07-20 14:24:20
55,100000008,Uniti Group Inc.,Philippines,3119432,2654387,3431744,2020-11-15 00:36:04,2021-08-22 23:53:04,2021-05-02 11:42:31
56,100000100,icad inc.,Philippines,5884193,4994771,8375200,2023-06-04 16:30:40,2022-08-25 23:49:06,2023-12-12 17:43:04
57,100000005,"SkyWest, Inc.",Brazil,6027367,7538542,149649,2020-07-04 10:26:35,2020-08-08 00:13:15,2021-06-26 21:39:01
58,100000007,"Evolent Health, Inc",Philippines,8871069,2377896,3581848,2020-06-07 22:59:04,2022-03-19 06:08:41,2021-07-30 10:45:04
59,200000001,"LivePerson, Inc.",Brazil,9062333,3868807,1169211,2020-03-18 17:12:36,2022-12-10 11:07:43,2023-06-27 20:54:25
60,100000003,"Liquidity Services, Inc.",Philippines,1214349,8803191,8896528,2024-02-20 21:26:37,2022-12-22 17:56:09,2021-05-30 23:52:52
61,100000003,Dolby Laboratories,Philippines,5612914,9859515,1483108,2022-08-10 03:21:45,2021-06-07 21:33:42,2022-07-06 07:47:28
62,100000100,"Cree, Inc.",Philippines,6969989,8510416,5002243,2020-08-11 14:09:06,2022-02-23 18:07:23,2020-03-25 06:40:22
63,100000001,Envision Healthcare Corporation,Canada,3496961,1022121,8238606,2022-05-28 00:58:34,2023-05-28 15:29:27,2021-04-19 06:10:56
64,100000002,Graphic Packaging Holding Company,United States,551550,9913299,5673311,2022-10-21 18:50:57,2022-12-07 02:05:54,2022-04-10 15:06:54
65,100000006,"Boston Private Financial Holdings, Inc.",Canada,6234583,1904702,2574280,2020-04-30 16:45:52,2023-01-13 09:40:23,2020-08-25 07:58:29
66,200000001,"Micronet Enertec Technologies, Inc.",Philippines,7658945,8931533,777173,2020-11-22 01:22:48,2022-10-09 16:23:29,2024-02-17 03:42:10
67,200000002,"Caleres, Inc.",Colombia,1358954,4449516,6868916,2022-04-27 15:24:52,2020-05-05 02:09:32,2022-10-10 18:14:11
68,200000003,STMicroelectronics N.V.,Colombia,1941046,5922062,7020763,2021-10-24 05:44:51,2021-11-15 14:39:12,2020-07-20 19:10:34
69,100000006,Tesco Corporation,Canada,7253312,9794179,9389972,2024-01-12 00:36:13,2023-07-17 19:04:04,2022-11-26 06:35:00
70,100000005,"SB Financial Group, Inc.",Colombia,1083056,1029754,4936813,2023-05-04 05:26:53,2023-06-16 17:25:13,2020-05-12 12:42:42
71,100000002,Union Pacific Corporation,Brazil,8446731,6613159,1180492,2023-11-11 00:58:53,2020-06-10 15:30:57,2022-10-04 16:01:00
72,100000001,"THL Credit, Inc.",Brazil,3407708,7472331,417146,2021-10-17 20:23:30,2024-02-11 12:35:45,2020-06-09 12:50:35
73,100000007,"Twitter, Inc.",Philippines,2211113,3197042,4287105,2024-02-18 13:58:59,2022-04-13 19:39:04,2022-04-14 14:31:48
74,200000004,Galectin Therapeutics Inc.,Philippines,3630223,2806265,9820343,2020-08-16 15:16:26,2020-04-29 17:23:17,2021-01-11 01:30:53
75,200000006,MutualFirst Financial Inc.,Canada,6770004,5591119,9904801,2021-11-02 18:49:39,2024-01-12 03:10:44,2022-05-30 01:01:48
76,200000006,Lightbridge Corporation,Philippines,4014448,5651473,5465905,2021-05-18 04:07:19,2023-10-15 09:25:49,2022-06-14 04:10:42
77,100000003,"Alexandria Real Estate Equities, Inc.",United States,8234294,2500829,5978700,2022-07-25 03:15:45,2021-04-19 16:44:36,2020-04-25 22:28:07
78,200000003,"Dupont Fabros Technology, Inc.",Brazil,1700566,4025583,4705025,2021-04-16 09:05:37,2020-10-26 12:09:26,2022-12-29 03:15:50
79,100000004,"SunTrust Banks, Inc.",Canada,1150726,5564498,4717034,2020-09-22 14:29:54,2020-08-30 15:16:25,2023-11-08 01:36:24
80,200000004,"Ryder System, Inc.",Brazil,5700854,4204638,222997,2021-06-01 17:24:54,2023-10-19 17:15:49,2021-06-11 12:05:10
81,100000100,"G-III Apparel Group, LTD.",Canada,2599971,9705170,9720233,2020-05-09 06:00:35,2022-06-09 01:57:30,2021-08-26 01:06:15
82,100000007,China Yuchai International Limited,Philippines,9387425,1823056,210033,2022-04-30 00:08:23,2023-07-18 16:48:47,2022-03-24 04:25:13
83,200000004,"Liberty TripAdvisor Holdings, Inc.",Canada,5904689,3978969,1708529,2023-01-16 11:01:13,2021-11-03 19:16:23,2021-06-18 21:37:14
84,100000006,Regions Financial Corporation,Brazil,6055127,618551,9063455,2022-07-28 09:20:37,2023-02-25 23:30:13,2021-12-22 08:22:51
85,100000007,Hailiang Education Group Inc.,Canada,1015069,7457585,7826311,2020-04-03 16:28:56,2020-04-10 04:34:39,2021-08-12 09:14:59
86,200000006,Zix Corporation,Brazil,7603473,3204129,5630669,2021-06-12 20:30:05,2020-11-24 14:13:03,2020-08-17 16:35:57
87,200000004,Invesco Trust  for Investment Grade New York Municipal,Philippines,7087994,7732126,1313938,2021-04-02 06:49:12,2023-02-27 01:25:31,2022-04-23 19:05:31
88,200000003,"Gabelli Equity Trust, Inc. (The)",Philippines,6693491,2411204,2428098,2024-01-10 11:19:26,2020-08-17 21:24:29,2023-07-08 00:37:19
89,100000100,Silver Run Acquisition Corporation II,United States,4673438,5567723,7571314,2020-10-05 15:54:54,2020-06-07 17:26:56,2022-11-19 06:01:05
90,200000004,"Flexsteel Industries, Inc.",Brazil,1310143,2794534,6934799,2021-01-27 17:13:24,2024-01-31 03:21:06,2020-05-28 15:41:36
91,100000100,BioAmber Inc.,Philippines,2083037,2315693,6032043,2021-03-18 01:22:58,2023-03-12 06:41:49,2021-10-11 05:04:24
92,200000003,Fidus Investment Corporation,Australia,7189558,4678514,7883104,2021-03-20 13:02:19,2021-03-17 07:23:59,2023-12-11 09:44:48
93,200000005,DNB Financial Corp,Philippines,962549,5642410,2037116,2020-04-18 01:34:30,2023-01-01 17:42:52,2023-07-13 18:26:26
94,200000001,"Coeur Mining, Inc.",Brazil,1081425,9292317,4172106,2023-10-17 17:53:22,2020-08-01 09:51:26,2022-01-21 14:30:15
95,200000006,"Onconova Therapeutics, Inc.",Brazil,4205955,8975573,9971267,2020-12-26 16:04:31,2023-05-18 12:30:10,2021-10-07 19:24:04
96,200000005,CoreSite Realty Corporation,United States,5679410,8797901,1368364,2020-12-30 19:24:31,2023-10-29 20:39:08,2021-06-26 18:00:07
97,200000005,"Poage Bankshares, Inc.",Brazil,9943373,6237254,3989617,2021-07-08 22:37:21,2023-06-04 16:51:40,2022-06-26 02:30:12
98,100000005,Edwards Lifesciences Corporation,Brazil,2834012,5396442,2909972,2022-08-14 06:52:12,2023-10-14 03:22:53,2020-05-30 04:49:29
99,100000100,"Children's Place, Inc. (The)",Philippines,9565429,858183,4216053,2021-04-22 18:51:38,2021-03-16 05:32:29,2020-11-25 21:15:27
100,100000100,"Team, Inc.",Brazil,3969943,6171871,1134809,2021-04-20 22:43:08,2020-08-08 01:21:42,2023-06-03 14:07:15
101,100000002,Northern Trust Corporation,Brazil,3197508,6219379,6871203,2022-09-17 16:22:12,2021-06-09 18:02:41,2023-04-23 14:46:53
102,100000005,"Steven Madden, Ltd.",Philippines,2716214,7079083,2283242,2021-10-03 02:43:48,2023-08-29 21:00:20,2021-11-17 20:16:44
103,100000002,WisdomTree Western Asset Unconstrained Bond Fund,Brazil,194796,652255,6571696,2024-02-04 01:51:14,2023-07-08 18:15:11,2023-11-09 15:33:29
104,100000003,Medley LLC,Brazil,2749112,2617950,3008855,2024-01-29 14:32:49,2022-05-01 04:01:54,2023-07-16 03:04:24
105,200000002,Glu Mobile Inc.,United States,1724159,7757093,2573752,2023-08-25 05:39:05,2023-08-15 02:48:41,2021-05-23 22:15:05
106,100000008,"Hawkins, Inc.",Philippines,4871231,7852389,5501453,2021-07-05 07:41:06,2022-08-21 01:12:26,2021-05-19 10:36:39
107,200000003,"AG Mortgage Investment Trust, Inc.",Brazil,2318987,666554,5682162,2022-04-14 15:11:56,2023-05-25 04:17:03,2021-03-11 22:12:00
108,100000005,Forum Merger Corporation,Brazil,8499579,3831968,7165143,2022-11-18 01:28:20,2022-09-02 05:59:06,2020-06-01 21:37:37
109,100000005,Kimbell Royalty Partners,Philippines,7753840,8374451,4746857,2020-05-10 02:35:48,2021-07-30 04:03:46,2021-04-29 17:32:18
110,100000008,Nuveen High Income November 2021 Target Term Fund,United States,1953564,1140233,3935622,2020-09-19 06:38:16,2022-06-16 04:36:49,2023-09-18 12:32:42
111,200000003,"Entellus Medical, Inc.",Philippines,2402502,8280511,8217261,2023-05-09 13:25:49,2020-12-08 13:27:10,2022-03-02 15:56:37
112,200000004,Nabriva Therapeutics AG,United States,2636734,3272857,7986450,2021-09-21 17:19:45,2020-05-21 19:02:21,2021-07-28 05:40:09
113,100000100,"The Travelers Companies, Inc.",Brazil,8852696,7943578,3769330,2022-02-18 16:42:57,2021-11-15 07:28:42,2023-04-07 06:47:43
114,100000009,"RCM Technologies, Inc.",Canada,7932757,5159138,522168,2020-04-07 20:44:56,2022-12-02 01:49:45,2021-01-25 10:35:44
115,100000007,Shinhan Financial Group Co Ltd,Brazil,9316994,4480717,9599052,2022-10-08 19:09:10,2021-11-18 17:48:22,2020-12-12 02:30:42
116,200000005,"Civitas Solutions, Inc.",United States,422427,7888485,9979380,2022-05-18 21:23:46,2022-10-09 10:02:30,2020-06-09 16:55:32
117,100000100,PowerShares Golden Dragon China Portfolio,Canada,3871824,4692941,7558714,2023-08-17 01:50:15,2021-11-01 05:02:48,2021-10-10 06:56:16
118,100000005,"Cobalt International Energy, Inc.",Philippines,2208867,3961579,1062953,2021-08-28 06:10:36,2020-10-16 10:40:47,2023-08-03 09:49:32
119,100000002,INVESCO MORTGAGE CAPITAL INC,Brazil,712804,5199190,266820,2020-10-19 01:35:01,2023-10-22 10:28:46,2020-10-24 10:24:36
120,200000001,McDonald's Corporation,Colombia,891603,5261058,6556310,2022-08-13 10:10:56,2021-04-21 12:34:38,2022-05-14 07:05:06
121,200000003,"Rocky Mountain Chocolate Factory, Inc.",Philippines,4558262,4185084,4092934,2021-05-02 17:11:15,2021-08-19 22:27:09,2024-01-14 13:15:35
122,200000600,Central Federal Corporation,Philippines,9760416,8299029,8464826,2020-08-27 01:21:40,2023-06-13 23:51:10,2021-03-31 15:13:38
123,100000007,Zions Bancorporation,Brazil,8069135,5096638,1641897,2021-10-30 04:20:35,2022-09-24 20:27:40,2021-12-27 17:39:55
124,100000002,Aspen Insurance Holdings Limited,Philippines,1459810,755891,1596279,2023-07-11 12:36:48,2023-11-12 00:34:52,2021-05-27 17:38:33
125,200000001,Nuveen Texas Quality Municipal Income Fund,Brazil,3614026,488739,7138010,2024-01-19 22:11:49,2024-01-05 15:54:02,2021-03-01 13:00:22
126,100000004,"MVC Capital, Inc.",United States,1603527,1291043,2843827,2021-06-27 10:45:16,2021-01-25 11:26:24,2022-09-04 12:58:44
127,200000006,Texas Pacific Land Trust,Brazil,8890442,1163327,2439046,2023-01-24 10:57:26,2021-07-05 07:37:00,2021-07-21 12:33:43
128,200000004,Shenandoah Telecommunications Co,Philippines,4652165,576010,9005151,2023-09-21 12:17:40,2021-01-27 20:10:02,2022-06-07 22:54:33
129,200000002,Newmont Mining Corporation,Philippines,6979881,2619033,4723604,2021-04-16 21:42:37,2022-12-11 02:09:40,2023-04-28 00:56:49
130,200000004,"NCI, Inc.",Philippines,4918728,2607175,9729259,2022-10-18 20:16:38,2023-12-31 11:48:56,2022-09-29 06:18:14
131,100000008,Dynegy Inc.,Colombia,6704760,4984360,5032642,2022-11-19 20:11:37,2023-05-17 01:46:11,2020-05-16 11:33:00
132,100000006,Phoenix New Media Limited,Canada,5424877,4236766,4301777,2021-01-17 06:33:31,2021-12-02 22:08:29,2022-11-03 19:14:28
133,200000001,"Anthem, Inc.",Canada,4434834,3920211,7673474,2021-11-05 13:52:50,2021-02-14 19:43:32,2022-03-21 11:20:11
134,200000001,First Trust Large Cap Growth AlphaDEX Fund,Brazil,9880128,8799435,1938564,2023-10-13 05:07:25,2021-11-05 20:08:09,2024-02-20 14:25:41
135,100000002,WildHorse Resource Development Corporation,Brazil,774131,1893319,8033885,2023-03-05 04:42:04,2021-07-06 16:00:13,2021-08-16 08:01:21
136,200000006,"Astec Industries, Inc.",United States,3552166,5461898,6935821,2023-07-11 02:58:31,2020-08-06 12:45:01,2022-06-05 19:08:44
137,100000001,Hecla Mining Company,Brazil,9903257,3652131,1615883,2023-05-30 16:39:02,2020-06-26 07:11:44,2023-01-22 17:33:49
138,200000006,Invesco Mortgage Capital Inc.,United States,4959266,8416352,7834149,2022-06-18 17:44:03,2023-11-07 07:32:32,2022-07-18 06:34:24
139,100000007,Blackrock MuniYield Investment Fund,Philippines,2596570,5507490,2875858,2020-09-21 05:04:18,2022-06-18 20:30:16,2022-06-25 05:37:30
140,100000008,"Bloomin' Brands, Inc.",Australia,785458,9615310,6508354,2020-06-18 18:07:49,2022-08-31 20:32:22,2022-11-28 19:58:39
141,100000003,American Homes 4 Rent,Brazil,5956229,4895576,1080200,2020-08-18 19:22:14,2023-12-03 11:36:24,2021-10-14 05:00:44
142,200000600,Amarin Corporation plc,Brazil,9428662,7582101,5150648,2021-11-19 22:37:40,2024-01-08 06:13:39,2024-01-13 11:29:08
143,100000001,"Virtus Investment Partners, Inc.",Philippines,5434107,3914805,165809,2021-06-20 14:47:15,2023-11-09 14:37:58,2023-06-26 03:26:26
144,200000004,Pacific Special Acquisition Corp.,Philippines,8936351,5875586,7396273,2023-01-28 03:41:24,2023-05-18 00:02:43,2021-11-24 12:39:45
145,200000600,NASDAQ TEST STOCK,Philippines,6261147,7478200,7341962,2024-01-30 22:46:18,2022-03-23 18:53:54,2020-06-15 18:16:39
146,100000003,Universal Display Corporation,Canada,3196365,8708886,1274302,2022-10-31 11:44:47,2021-10-17 17:49:49,2021-05-29 02:19:16
147,200000006,EMCORE Corporation,Philippines,2512681,8247257,8273559,2020-09-15 06:31:36,2023-09-01 13:32:26,2021-05-18 16:49:53
148,200000006,TD Ameritrade Holding Corporation,Philippines,3504011,9748351,3840917,2022-09-14 11:09:29,2024-01-22 10:53:35,2022-11-19 15:04:09
149,200000004,Southern Company (The),United States,5329436,473537,2054918,2021-12-10 18:42:41,2022-12-18 22:40:09,2021-12-29 16:45:07
150,100000002,Nuvectra Corporation,Brazil,3283406,6149190,436600,2022-06-18 23:13:38,2020-08-17 23:24:55,2020-09-16 00:04:49
151,100000100,Fluor Corporation,Colombia,1675268,4675789,9048042,2023-08-05 18:29:57,2021-03-09 14:05:44,2023-08-23 02:36:00
152,100000007,Neonode Inc.,Philippines,1768614,2208449,9767795,2023-09-30 23:52:57,2023-01-16 22:47:45,2021-01-22 05:41:08
153,200000002,"Bank of the James Financial Group, Inc.",Brazil,316769,4918773,1518111,2020-10-09 07:41:38,2022-12-23 02:32:11,2022-11-09 11:40:21
154,100000006,Northern Trust Corporation,Colombia,3888905,5355000,4774267,2024-01-12 05:42:30,2021-06-18 08:10:04,2021-10-13 14:13:14
155,200000002,Potlatch Corporation,United States,6029984,7548567,4191511,2023-02-24 12:01:06,2023-06-28 14:58:07,2020-08-19 06:14:30
156,100000001,"Luxottica Group, S.p.A.",Philippines,5766467,6015661,1259128,2022-05-02 00:52:36,2021-03-10 13:04:45,2023-06-19 23:20:09
157,200000005,Panhandle Royalty Company,Philippines,160879,8912067,2702434,2023-12-11 01:15:12,2020-08-16 09:38:18,2020-08-07 08:07:40
158,200000600,"Federated Investors, Inc.",Colombia,9148366,6945113,5700352,2023-10-20 01:53:34,2023-08-18 16:38:02,2020-12-11 15:56:31
159,100000006,Netshoes (Cayman) Limited,United States,7103212,2620207,8290946,2020-06-28 11:19:28,2023-01-01 05:44:50,2021-01-21 23:42:29
160,200000600,Golar LNG Limited,Brazil,6297274,4416511,2723507,2021-03-14 01:18:27,2022-12-06 20:37:57,2023-11-04 05:34:41
161,100000100,NewJersey Resources Corporation,Philippines,3703461,3552103,8385462,2020-03-29 09:57:06,2020-12-15 14:37:59,2021-01-10 06:48:32
162,100000008,"Synchronoss Technologies, Inc.",Canada,8670859,1416615,7857230,2020-11-13 01:45:20,2020-03-14 04:08:19,2024-01-02 06:35:19
163,200000600,"Axcelis Technologies, Inc.",Philippines,3789108,3314010,5194545,2020-09-23 00:11:24,2021-02-12 14:30:11,2020-06-05 19:42:45
164,100000004,Stellar Acquisition III Inc.,Philippines,3989434,4670450,7928696,2023-09-15 21:10:06,2023-01-27 10:26:08,2022-11-16 16:47:29
165,100000002,Accenture plc,Philippines,8722994,2020659,3352463,2020-05-23 12:56:15,2023-09-27 12:55:25,2023-12-01 16:31:45
166,100000005,"General American Investors, Inc.",Philippines,2958563,522520,7349734,2022-06-28 10:24:04,2021-03-08 09:22:14,2021-12-11 17:07:08
167,100000009,"GTY Technology Holdings, Inc.",Philippines,1272846,4522532,6637074,2021-02-20 02:05:04,2022-01-23 21:50:30,2023-04-18 12:40:54
168,100000001,Hershey Company (The),Australia,5362186,5075445,1692881,2021-10-26 05:21:21,2023-02-07 11:53:37,2022-07-01 06:06:24
169,200000002,lululemon athletica inc.,Colombia,5375294,5007169,185101,2020-07-31 00:17:23,2020-11-08 20:28:02,2020-07-25 18:31:51
170,200000002,ResMed Inc.,United States,6670009,2482160,8740260,2021-02-16 23:11:16,2020-04-10 18:04:58,2021-04-09 22:13:09
171,200000002,"Duff & Phelps Utilities Income, Inc.",Philippines,104362,801020,8437885,2022-05-26 17:00:11,2020-09-29 03:23:00,2020-05-29 06:39:31
172,200000001,"Novus Therapeutics, Inc.",Philippines,7042891,8583045,9157904,2020-09-22 13:58:23,2023-06-28 12:38:47,2020-08-29 15:52:36
173,200000600,KKR Financial Holdings LLC,Philippines,1285942,3296564,9547673,2020-09-03 05:02:50,2021-12-08 11:02:12,2021-11-08 20:16:13
174,100000004,"Zillow Group, Inc.",United States,5883568,6764150,7996304,2022-03-03 19:52:37,2023-03-02 20:49:05,2021-08-01 18:17:10
175,100000007,Bank of America Corporation,Colombia,3631889,4545681,7259659,2023-12-22 02:09:04,2021-11-23 10:10:00,2022-10-15 22:15:27
176,200000001,WisdomTree Emerging Markets Corporate Bond Fund,Colombia,5370875,1843471,7563627,2023-03-06 09:02:32,2023-11-24 14:37:26,2020-08-01 07:42:58
177,200000005,"Laureate Education, Inc.",United States,4500168,1098205,730933,2023-05-25 17:05:03,2021-12-04 22:27:16,2021-06-23 02:42:42
178,100000009,Duke Energy Corporation,Brazil,1956603,2310038,2427748,2023-09-19 03:41:56,2024-01-12 13:32:17,2024-01-22 19:42:46
179,100000006,"Summit Hotel Properties, Inc.",Brazil,9662936,9613763,6049252,2021-06-23 17:48:14,2023-11-04 03:17:20,2023-07-06 03:57:31
180,100000001,"American Public Education, Inc.",Philippines,9916383,4765935,8840820,2020-06-07 11:29:40,2021-07-03 11:28:18,2022-12-21 11:14:46
181,100000007,Kimberly-Clark Corporation,Philippines,2849596,9793848,9463747,2024-01-01 18:51:55,2021-07-30 00:48:36,2022-11-21 04:11:16
182,200000001,"MetLife, Inc.",United States,7014602,2757363,9366117,2021-02-07 21:40:56,2022-02-19 00:38:43,2023-05-14 10:41:33
183,100000007,JM Global Holding Company,Brazil,470907,9079267,1645403,2023-06-13 14:05:48,2022-07-14 22:21:14,2021-03-19 14:27:15
184,100000007,"Juno Therapeutics, Inc.",Colombia,1345108,5419600,9308482,2021-12-27 08:41:02,2023-10-23 15:11:23,2021-02-25 21:30:35
